timestamp,cycle1,cycle2,cycle3,vrms1,vrms2,vrms3,vpeak1,vpeak2,vpeak3,irms1,irms2,irms3,ipeak1,ipeak2,ipeak3,vstat1,vstat2,vstat3,istat1,istat2,istat3,power1,power2,power3
2025-12-18 18:59:39,11790,11530,11778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000
2025-12-18 18:59:49,140,136,141,116.192,108.999,112.906,164.320,154.148,159.673,7.481,6.758,7.293,10.579,9.557,10.314,0,0,0,0,0,0,869.188,736.590,823.429
2025-12-18 18:59:59,461,449,460,112.576,118.368,101.343,159.206,167.398,143.321,8.125,7.483,7.553,11.491,10.582,10.682,0,0,0,0,0,0,914.732,885.724,765.475
2025-12-18 19:00:09,706,690,706,117.308,110.747,105.135,165.899,156.620,148.683,7.288,6.193,5.885,10.306,8.759,8.323,0,0,0,0,0,0,854.905,685.888,618.751
2025-12-18 19:00:19,984,960,981,115.619,116.356,115.058,163.510,164.552,162.717,5.525,5.422,5.452,7.813,7.668,7.710,0,0,0,0,0,0,638.769,630.932,627.241
2025-12-18 19:00:29,1317,1280,1312,112.171,114.359,113.339,158.633,161.728,160.286,7.245,7.204,7.135,10.246,10.188,10.091,0,0,0,0,0,0,812.651,823.843,808.728
2025-12-18 19:00:39,1629,1587,1623,113.948,109.168,109.858,161.147,154.387,155.363,7.531,6.623,5.543,10.651,9.367,7.839,0,0,0,0,0,0,858.186,723.068,608.974
2025-12-18 19:00:49,1955,1905,1951,112.797,115.800,116.877,159.519,163.766,165.289,5.409,7.324,7.876,7.650,10.358,11.139,0,0,0,0,0,0,610.164,848.175,920.580
2025-12-18 19:00:59,2286,2181,2283,106.415,118.728,115.579,150.494,167.907,163.453,6.312,16.609,6.747,8.927,23.489,9.542,0,0,0,0,1,0,671.706,1972.010,779.800
2025-12-18 19:01:09,2603,2537,2598,117.467,112.144,115.550,166.124,158.595,163.413,5.029,7.089,5.398,7.112,10.025,7.634,0,0,0,0,0,0,590.750,794.986,623.705
2025-12-18 19:01:19,2918,2691,2915,114.404,115.957,110.144,161.792,163.987,155.767,6.166,16.952,5.879,8.719,23.974,8.314,0,0,0,0,1,0,705.365,1965.711,647.559
2025-12-18 19:01:29,3242,3161,3239,113.182,108.261,104.051,160.063,153.105,147.150,7.885,5.628,8.431,11.151,7.960,11.923,0,0,0,0,0,0,892.431,609.334,877.243
2025-12-18 19:01:39,3567,3286,3558,110.810,118.464,105.512,156.709,167.534,149.216,6.444,8.483,6.390,9.113,11.997,9.036,0,0,0,0,0,0,714.052,1004.989,674.192
2025-12-18 19:01:49,3872,3286,3863,117.915,118.464,116.742,166.757,167.534,165.099,5.865,8.483,5.454,8.295,11.997,7.713,0,0,0,0,0,0,691.629,1004.989,636.743
2025-12-18 19:01:59,4198,3286,4188,105.415,118.464,106.913,149.079,167.534,151.198,5.974,8.483,6.267,8.448,11.997,8.863,0,0,0,0,0,0,629.729,1004.989,670.071
2025-12-18 19:02:09,4511,3286,4503,105.676,118.464,110.879,149.448,167.534,156.807,5.810,8.483,7.128,8.217,11.997,10.080,0,0,0,0,0,0,613.979,1004.989,790.294
2025-12-18 19:02:19,4805,3286,4798,110.476,118.464,114.212,156.236,167.534,161.520,5.864,8.483,5.756,8.292,11.997,8.141,0,0,0,0,0,0,647.775,1004.989,657.432
2025-12-18 19:02:29,5096,3286,5086,105.622,118.464,102.396,149.372,167.534,144.810,7.934,8.483,7.651,11.220,11.997,10.821,0,0,0,0,0,0,837.965,1004.989,783.461
2025-12-18 19:02:39,5401,3286,5393,115.709,118.464,115.234,163.637,167.534,162.966,8.368,8.483,7.955,11.834,11.997,11.250,0,0,0,0,0,0,968.206,1004.989,916.681
2025-12-18 19:02:49,5731,3286,5723,118.906,118.464,113.062,168.159,167.534,159.894,6.164,8.483,5.905,8.717,11.997,8.351,0,0,0,0,0,0,732.881,1004.989,667.608
2025-12-18 19:02:59,6055,3286,5859,109.502,118.464,119.089,154.859,167.534,168.417,7.304,8.483,8.186,10.330,11.997,11.576,0,0,0,0,0,0,799.839,1004.989,974.816
2025-12-18 19:03:09,6386,3286,5859,111.745,118.464,119.089,158.032,167.534,168.417,6.533,8.483,8.186,9.239,11.997,11.576,0,0,0,0,0,0,729.999,1004.989,974.816
2025-12-18 19:03:19,6711,3286,5859,110.906,118.464,119.089,156.845,167.534,168.417,8.095,8.483,8.186,11.448,11.997,11.576,0,0,0,0,0,0,897.777,1004.989,974.816
2025-12-18 19:03:29,7035,3286,5859,111.576,118.464,119.089,157.792,167.534,168.417,5.855,8.483,8.186,8.280,11.997,11.576,0,0,0,0,0,0,653.235,1004.989,974.816
2025-12-18 19:03:39,7345,3286,5859,121.540,118.464,119.089,171.884,167.534,168.417,8.182,8.483,8.186,11.572,11.997,11.576,0,0,0,0,0,0,994.492,1004.989,974.816
2025-12-18 19:03:49,7673,3286,5859,113.721,118.464,119.089,160.825,167.534,168.417,7.013,8.483,8.186,9.918,11.997,11.576,0,0,0,0,0,0,797.494,1004.989,974.816
2025-12-18 19:03:59,7989,3286,5859,117.477,118.464,119.089,166.137,167.534,168.417,6.367,8.483,8.186,9.004,11.997,11.576,0,0,0,0,0,0,747.924,1004.989,974.816
